toxic,stf_mode,n,val_ic_mean,val_ic_std,oos_ic_mean,oos_ic_std,aux_val_mean,aux_val_std,collapse_mean,collapse_std
rank_only,off,5,0.068473,0.035586,0.024777,0.035006,0.514576,0.039227,0.249049,0.050919
rank_only,stf0,5,0.026966,0.034205,0.048827,0.023984,0.500273,0.011520,0.038969,0.004879
rank_only,hard,5,0.062128,0.047348,0.009786,0.025054,0.514680,0.040519,0.244872,0.054799
rank_only,soft,5,0.074921,0.043133,0.033993,0.028406,0.516020,0.038673,0.250579,0.049407
rank_w100_k64,off,5,0.050066,0.046954,0.015437,0.035058,0.500582,0.003255,0.000364,0.000355
rank_w100_k64,stf0,5,0.022949,0.049167,0.033445,0.041130,0.508046,0.014271,0.039151,0.011696
rank_w100_k64,hard,5,0.070442,0.033494,-0.003283,0.044747,0.501039,0.004215,0.002202,0.004487
rank_w100_k64,soft,5,0.043300,0.029132,-0.036553,0.072198,0.497853,0.001594,0.000597,0.000608
rank_w1_k8,off,5,0.120683,0.030690,0.019482,0.076962,0.493776,0.011309,0.078820,0.061182
rank_w1_k8,stf0,5,0.057724,0.036088,0.004677,0.061517,0.512774,0.019359,0.040784,0.010247
rank_w1_k8,hard,5,0.130200,0.032027,0.046496,0.050573,0.520593,0.044876,0.084847,0.066306
rank_w1_k8,soft,5,0.122294,0.027444,0.049703,0.051978,0.505745,0.034064,0.089433,0.068343
rank_w20_k64,off,5,0.048769,0.051556,-0.032173,0.033385,0.500686,0.003939,0.002957,0.004495
rank_w20_k64,stf0,5,0.022949,0.049167,0.033445,0.041130,0.508046,0.014271,0.039151,0.011696
rank_w20_k64,hard,5,0.057881,0.060353,-0.031851,0.043648,0.500750,0.004545,0.003065,0.004189
rank_w20_k64,soft,5,0.051589,0.084420,-0.040332,0.056054,0.500154,0.004126,0.002692,0.004383
rank_w5_k16,off,5,0.098567,0.056241,0.022546,0.047235,0.492178,0.026301,0.038883,0.032182
rank_w5_k16,stf0,5,0.061346,0.035829,0.037996,0.019130,0.496932,0.011819,0.036788,0.007773
rank_w5_k16,hard,5,0.138832,0.044956,0.019932,0.040994,0.537582,0.037645,0.078456,0.023339
rank_w5_k16,soft,5,0.159508,0.077634,0.079645,0.056907,0.545247,0.076153,0.065443,0.051810
